company_name,company_address,company_phone_number,company_email_address,company_website
525e MUTUELLE D'ENTREPRISES,"Cité Berliet, Avenue C 4/5, Place Steven Spielberg 69800 SAINT-PRIEST France Auvergne - Rhône-Alpes Rhône",04 78 78 36 37,contact@525eme-mutuelle.fr,http://www.525eme-mutuelle.fr/
A2VIP,"20, rue de la Baume 75008 PARIS France Ile-de-France Paris",01 55 31 24 91,contact@a2vip.fr,www.a2vip.fr
AACHEA,"26, boulevard 75009 PARIS France Ile-de-France Paris",06 17 85 31 83,isabelle.pasquet@dauphine.psl.eu,https://executive-education.dauphine.psl.eu/formations/mba/assurance-chea/alumni-etudiants
ABEILLE ASSURANCES,"80, avenue de l’Europe 92270 BOIS-COLOMBES France Ile-de-France Hauts-de-Seine",01 76 62 50 00,https://www.abeille-assurances.fr/particulier/contact.html#/de/details-demande,https://www.abeille-assurances.fr/
ABEILLE ASSURANCES,"13, rue du Moulin Bailly 92270 BOIS-COLOMBES France Ile-de-France Hauts-de-Seine",01 76 62 50 00,presse@aviva.fr,www.aviva.fr
ABEILLE EPARGNE RETRAITE,"70, avenue de l’Europe 92270 BOIS-COLOMBES France Ile-de-France Hauts-de-Seine",01 76 62 50 00,presse@aviva.fr,www.aviva.fr
ABEILLE RETRAITE PROFESSIONNELLE,"70, avenue de l’Europe 92270 BOIS-COLOMBES France Ile-de-France Hauts-de-Seine",01 76 62 50 00,presse@aviva.fr,www.aviva.fr
ABTESA,"Institut des Assurances de Bordeaux, ABTESA - Université Montesquieu, Bordeaux 16, avenue Léon Duguit 33608 PESSAC CEDEX France Nouvelle-Aquitaine Gironde",05 56 84 85 94,http://iab-ubordeaux.wixsite.com/abtesa/contact,http://iab-ubordeaux.wixsite.com/abtesa/association-etudiante
ACHEEL SA,"16, rue de la Ville-L'Evêque 75008 PARIS France Ile-de-France Paris",,https://www.acheel.com/legal_notice,https://www.acheel.com
ACORIS MUTUELLES,"6/8, Viaduc Kennedy 54042 NANCY CEDEX France Grand-Est Meurthe-et-Moselle",09 69 36 10 20,contact@acorismutuelles.fr/communication@acorismutuelles.fr,www.acorismutuelles.fr
ACPR,"4, place de Budapest 75436 PARIS CEDEX 09 France Ile-de-France Paris",01 49 95 40 00,bibli@acpr.banque-France.fr/presse@acpr.banque-France.fr,https://acpr.banque-france.fr/
ACREDIA VERSICHERUNG AG,"Himmelpfortgasse, 29 1010 WIEN Autriche",00 43 50102 0,office@acredia.at,www.acredia.at
ACS SOLUTIONS,"Le Carillon 6, Esplanade Charles de Gaulle 92735 NANTERRE CEDEX France Ile-de-France Hauts-de-Seine",01 46 96 60 00,am.ponthier@acsservices.eu,Not specified
ACTE IARD - GROUPE CAM,"Espace Européen de l'Entreprise 14, avenue de l'Europe 67300 SCHILTIGHEIM France Grand-Est Bas-Rhin",,,Not specified
ACTE VIE - GROUPE CAM,"Espace Européen de l'Entreprise 14, avenue de l'Europe 67300 SCHILTIGHEIM France Grand-Est Bas-Rhin",,,Not specified
ACTIF,"7/9, rue Euryale Dehaynin 75019 PARIS France Ile-de-France Paris",01 42 03 88 50,actif@fba.cfdt.fr,Not specified
ADIAP,Université Paris-Dauphine Place du Maréchal de Lattre de Tassigny 75016 PARIS France Ile-de-France Paris,01 41 16 76 45,isabelle.pasquet@dauphine.psl.eu,http://iap-droitdesassurances.dauphine.fr
AECA,"C/O CFE-CGC Fédération de l’Assurance 43, rue de Provence 75009 PARIS France Ile-de-France Paris",01 55 07 87 60,asso.euro.cadres@cgc-assurance.com,www.cgc-assurance.com
AESIO MUTUELLE,"4, rue du Général Foy 75008 PARIS France Ile-de-France Paris",01 56 03 13 62,,www.aesio.fr
AFFINEO'ASSUR,"301, Grande Rue 01400 NEUVILLE-LES-DAMES France Auvergne - Rhône-Alpes Ain",04 74 55 62 68,combier@affineoassur.fr,http://affineoassur.fr/
AFI ESCA,"2, quai Kléber 67000 STRASBOURG France Grand-Est Bas-Rhin",,,Not specified
AFI ESCA IARD,"4, square  Dutilleul 59042 LILLE France Hauts-de-France Nord",03 88 52 46 46,accueil@afi-esca.com,www.afi-esca.com
AFI ESCA LUXEMBOURG SA,"4, rue du Fort Wallis L-2714 LUXEMBOURG Luxembourg",00 352 26 37 85 95 55,contact@afi-esca.lu,https://afi-esca.lu/
AFIB-ASSURANCE,"5, rue de Castiglione 75001 PARIS France",01 39 12 20 02,contact@afib-bancassurance.fr,https://afib-bancassurance.fr/
AFSRA,"57, rue d’Amsterdam 75008 PARIS France Ile-de-France Paris",02 43 54 47 78,ass.afsra@gmail.com,www.afsra.fr
AG2R LA MONDIALE SGAM,"14/16, boulevard Malesherbes 75008 PARIS France Ile-de-France Paris",01 76 60 84 00,https://www.ag2rlamondiale.fr/contactez-nous,www.ag2rlamondiale.fr
